[2024-05-28 12:00:43,492] INFO [Broker id=0] Leader okx_api_perpetual_oi_btcoifutureperp-4 with topic id Some(zANIEv4eTimAP90c99BsHA) starts at leader epoch 0 from offset 12 with partition epoch 0, high watermark 12, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,493] INFO [Broker id=0] Leader okx_api_perpetual_funding_btcfundperp-0 with topic id Some(RhRc5O0kR3qmxJvY45K3kQ) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,493] INFO [Broker id=0] Leader mexc_api_perpetual_oifunding_btcusdt-1 with topic id Some(KerU_Y04RKyv_jzGUIWJWA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,521] INFO [Broker id=0] Leader gateio_api_perpetual_tta_btcposfutureperp-1 with topic id Some(NQRdfXakT4-wpuIJY-ae1Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,543] INFO [Broker id=0] Leader okx_api_option_oi_btcusd-3 with topic id Some(EbeoDoYfR8KAY-Tj242nBw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,565] INFO [Broker id=0] Leader binance_api_perpetual_inverse_funding_btcfundperp-1 with topic id Some(S6HkO-JwTWq6MyRY_-2uvA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,587] INFO [Broker id=0] Leader deribit_api_future_oifunding_btc-0 with topic id Some(60JMjLzcRiKoEBj_HYEICg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,609] INFO [Broker id=0] Leader deribit_api_future_oifunding_btc-1 with topic id Some(60JMjLzcRiKoEBj_HYEICg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,631] INFO [Broker id=0] Leader mexc_api_perpetual_oifunding_btcusdt-0 with topic id Some(KerU_Y04RKyv_jzGUIWJWA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,652] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,675] INFO [Broker id=0] Leader gateio_api_perpetual_tta_btcposfutureperp-0 with topic id Some(NQRdfXakT4-wpuIJY-ae1Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,699] INFO [Broker id=0] Leader okx_api_option_oi_btcusd-4 with topic id Some(EbeoDoYfR8KAY-Tj242nBw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,721] INFO [Broker id=0] Leader binance_api_perpetual_inverse_funding_btcfundperp-0 with topic id Some(S6HkO-JwTWq6MyRY_-2uvA) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,722] INFO [Broker id=0] Leader deribit_api_future_oifunding_btc-2 with topic id Some(60JMjLzcRiKoEBj_HYEICg) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,722] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(yi2oe6kcSyys27fbj0a4wg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-05-28 12:00:43,743] INFO [Broker id=0] Leader okx_api_option_oi_btcusd-1 with topic id Some(EbeoDoYfR8KAY-Tj242nBw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
